time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
448178884352,18,3492.64,,0.0,71,0
448178884608,18,3492.64,,0.0,71,0
448178884864,19,3625.4399999999996,,0.0,71,0
448178885120,20,3625.4399999999996,,0.0,71,0
448178885376,21,3625.4399999999996,,0.0,71,0
448178885632,21,3572.3199999999997,,0.0,71,0
448178885888,21,3572.3199999999997,,0.0,71,0
448178886144,21,3572.3199999999997,,0.0,71,0
448178886400,21,3492.64,,0.0,71,0
448178886656,21,3492.64,,0.0,71,0
448178886912,21,3492.64,,0.0,71,0
448178887168,20,3187.2,,0.0,71,0
448178887424,20,3187.2,,0.0,71,0
448178887680,20,2961.44,,0.0,71,0
448178887936,20,2961.44,,0.0,70,0
448178888192,20,2961.44,,0.0,70,0
448178888448,20,2961.44,,0.0,70,0
448178888704,20,2961.44,,0.0,70,0
448178888960,20,2589.6,,0.0,70,0
448178889216,19,2589.6,,0.0,70,0
448178889472,18,2589.6,,0.0,71,0
448178889728,18,3173.92,,0.0,71,0
448178889984,19,3173.92,,0.0,71,0
448178890240,20,3173.92,,0.0,71,0
448178890496,20,2988.0,,0.0,71,0
448178890752,19,2988.0,,0.0,70,0
448178891008,19,2988.0,,0.0,70,0
448178891264,19,3107.52,,0.0,70,0
448178891520,19,3107.52,,0.0,70,0
448178891776,19,3107.52,,0.0,71,0
448178892032,19,3134.08,,0.0,71,0
448178892288,19,3134.08,,0.0,71,0
448178892544,19,3134.08,,0.0,71,0
448178892800,19,3134.08,,0.0,72,0
448178893056,19,3014.56,,0.0,71,0
448178893312,18,3014.56,,0.0,71,0
448178893568,18,3014.56,,0.0,71,0
448178893824,18,2828.64,,0.0,71,0
448178894080,18,2828.64,,0.0,71,0
448178894336,17,2828.64,,0.0,71,0
448178894592,18,3054.3999999999996,,0.0,71,0
448178894848,19,3054.3999999999996,,0.0,71,0
448178895104,19,3054.3999999999996,,0.0,71,0
448178895360,20,5219.04,,0.0,71,0
448178895616,20,5219.04,,0.0,70,0
448178895872,20,5219.04,,0.0,70,0
448178896128,19,5219.04,,0.0,69,0
448178896384,19,5219.04,,0.0,69,0
448178896640,19,5219.04,,0.0,69,0
448178896896,20,5219.04,,0.0,69,0
448178897152,20,5219.04,,0.0,69,0
448178897408,20,5219.04,,0.0,69,0
448178897664,20,5219.04,,0.0,69,0
448178897920,19,3944.16,,0.0,69,0
448178898176,17,3944.16,,0.0,69,0
448178898432,15,3944.16,,0.0,68,0
448178898688,14,3758.24,,0.0,68,0
448178898944,15,3758.24,,0.0,68,0
448178899200,15,3758.24,,0.0,68,0
448178899456,15,3798.08,,0.0,68,0
448178899712,15,3798.08,,0.0,68,0
448178899968,15,3771.52,,0.0,68,0
448178900224,15,3771.52,,0.0,68,0
448178900480,15,3771.52,,0.0,68,0
448178900736,15,3997.2799999999997,,0.0,68,0
448178900992,16,3997.2799999999997,,0.0,68,0
448178901248,16,4063.68,,0.0,67,0
448178901504,16,4063.68,,0.0,68,0
448178901760,16,4063.68,,0.0,68,0
448178902016,16,2151.3599999999997,,0.0,68,0
448178902272,16,2151.3599999999997,,0.0,68,0
448178902528,16,2151.3599999999997,,0.0,68,0
448178902784,17,2881.7599999999998,,0.0,68,0
448178903040,19,2881.7599999999998,,0.0,68,0
448178903296,22,2881.7599999999998,,0.0,68,0
448178903552,22,2881.7599999999998,,0.0,68,0
448178903808,22,2881.7599999999998,,0.0,69,0
448178904064,21,6148.639999999999,,0.0,68,0
448178904320,21,6148.639999999999,,0.0,68,0
448178904576,20,6148.639999999999,,0.0,68,0
448178904832,20,6148.639999999999,,0.0,68,0
448178905088,19,7357.12,,0.0,68,0
448178905344,19,7357.12,,0.0,68,0
448178905600,19,7357.12,,0.0,68,0
448178905856,19,7357.12,,0.0,68,0
448178906112,19,7357.12,,0.0,68,0
448178906368,18,7875.04,,0.015625,68,0
448178906624,18,7875.04,,0.0,68,0
448178906880,17,7875.04,,0.0,68,0
448178907136,17,7875.04,,0.0,67,0
448178907392,17,7489.92,,0.015625,67,0
448178907648,16,7489.92,,0.0,67,0
448178907904,16,7489.92,,0.0,67,0
448178908160,16,7489.92,,0.0,67,0
448178908416,16,7489.92,,0.0,67,0
448178908672,16,7290.719999999999,,0.015625,67,0
448178908928,15,7290.719999999999,,0.0,68,0
448178909184,15,7290.719999999999,,0.0,68,0
448178909440,14,7290.719999999999,,0.0,68,0
448178909696,14,7118.08,,0.0,68,0
448178909952,14,7118.08,,0.0,68,0
448178910208,14,7118.08,,0.0,68,0
448178910464,14,7118.08,,0.0,69,0
